Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000005625	ENSVPAG00000005625.1	ENSVPAT00000005625.1
ENSVPAG00000000140	ENSVPAG00000000140.1	ENSVPAT00000000140.1
ENSVPAG00000000046	ENSVPAG00000000046.1	ENSVPAT00000000045.1
ENSVPAG00000003162	ENSVPAG00000003162.1	ENSVPAT00000003162.1
ENSVPAG00000000048	ENSVPAG00000000048.1	ENSVPAT00000000049.1
ENSVPAG00000009715	ENSVPAG00000009715.1	ENSVPAT00000009715.1
ENSVPAG00000005628	ENSVPAG00000005628.1	ENSVPAT00000005627.1
ENSVPAG00000002728	ENSVPAG00000002728.1	ENSVPAT00000002728.1
ENSVPAG00000000858	ENSVPAG00000000858.1	ENSVPAT00000000857.1
ENSVPAG00000002665	ENSVPAG00000002665.1	ENSVPAT00000002664.1
ENSVPAG00000009716	ENSVPAG00000009716.1	ENSVPAT00000009717.1
ENSVPAG00000000093	ENSVPAG00000000093.1	ENSVPAT00000000093.1
ENSVPAG00000005629	ENSVPAG00000005629.1	ENSVPAT00000005628.1
ENSVPAG00000009718	ENSVPAG00000009718.1	ENSVPAT00000009718.1
ENSVPAG00000003170	ENSVPAG00000003170.1	ENSVPAT00000003172.1
ENSVPAG00000002729	ENSVPAG00000002729.1	ENSVPAT00000002729.1
ENSVPAG00000000154	ENSVPAG00000000154.1	ENSVPAT00000000153.1
ENSVPAG00000005630	ENSVPAG00000005630.1	ENSVPAT00000005633.1
ENSVPAG00000000059	ENSVPAG00000000059.1	ENSVPAT00000000059.1
ENSVPAG00000002730	ENSVPAG00000002730.1	ENSVPAT00000002730.1
ENSVPAG00000008108	ENSVPAG00000008108.1	ENSVPAT00000008107.1
ENSVPAG00000010484	ENSVPAG00000010484.1	ENSVPAT00000010485.1
ENSVPAG00000002732	ENSVPAG00000002732.1	ENSVPAT00000002731.1
ENSVPAG00000002358	ENSVPAG00000002358.1	ENSVPAT00000002358.1
ENSVPAG00000007865	ENSVPAG00000007865.1	ENSVPAT00000007865.1
ENSVPAG00000004362	ENSVPAG00000004362.1	ENSVPAT00000004362.1
ENSVPAG00000002779	ENSVPAG00000002779.1	ENSVPAT00000002781.1
ENSVPAG00000010487	ENSVPAG00000010487.1	ENSVPAT00000010486.1
ENSVPAG00000010488	ENSVPAG00000010488.1	ENSVPAT00000010491.1
ENSVPAG00000002737	ENSVPAG00000002737.1	ENSVPAT00000002737.1
ENSVPAG00000002509	ENSVPAG00000002509.1	ENSVPAT00000002508.1
ENSVPAG00000004364	ENSVPAG00000004364.1	ENSVPAT00000004363.1
ENSVPAG00000002046	ENSVPAG00000002046.1	ENSVPAT00000002046.1
ENSVPAG00000010600	ENSVPAG00000010600.1	ENSVPAT00000010606.1
ENSVPAG00000005631	ENSVPAG00000005631.1	ENSVPAT00000005630.1
ENSVPAG00000010494	ENSVPAG00000010494.1	ENSVPAT00000010495.1
ENSVPAG00000005634	ENSVPAG00000005634.1	ENSVPAT00000005635.1
ENSVPAG00000004365	ENSVPAG00000004365.1	ENSVPAT00000004365.1
ENSVPAG00000007825	ENSVPAG00000007825.1	ENSVPAT00000007825.1
ENSVPAG00000010612	ENSVPAG00000010612.1	ENSVPAT00000010615.1
ENSVPAG00000005636	ENSVPAG00000005636.1	ENSVPAT00000005637.1
ENSVPAG00000010499	ENSVPAG00000010499.1	ENSVPAT00000010498.1
ENSVPAG00000005007	ENSVPAG00000005007.1	ENSVPAT00000005006.1
